,ID_MDL_Data
0,121728317
1,120871429
2,117187527
3,121262949
4,122493973
5,117950935
6,122446396
7,117993973
8,119142851
9,121835011
10,119904623
11,115429816
12,110577335
13,115914570
14,120055063
15,115615954
16,120520182
17,111737466
18,117835132
19,118744107
20,117213221
21,122503601
22,114366308
23,115260524
24,120911816
25,120046935
26,122401157
27,114865180
28,115679128
29,116967181
30,121018429
31,114851753
32,121385588
33,114733423
34,118840885
35,116850787
36,121649446
37,122436945
38,116881458
39,119920500
40,118529664
41,121674174
42,118364982
43,120557701
44,111975941
45,115758460
46,110684674
47,114835823
48,115338058
49,121367892
50,119511682
51,117152590
52,120107696
53,115675352
54,117969258
55,121343609
56,120662722
57,117770886
58,109991998
59,119005712
60,110749544
61,120719544
62,119462446
63,112150903
64,119988523
65,120361392
66,120371179
67,115633058
68,114633185
69,119097610
70,115469351
71,122377673
72,111962721
73,121555356
74,113836363
75,117913234
76,121017826
77,114261091
78,120786668
79,121842800
80,115449325
81,117203353
82,121645044
83,117797821
84,117612416
85,118551439
86,117233772
87,113615991
88,121889527
89,122420820
90,118107968
91,121350704
92,111155029
93,121281543
94,119069872
95,114534494
96,117705085
97,116838485
98,120536633
99,118806583
100,109762614
101,122483285
102,120750342
103,122616125
104,116503555
105,122644138
106,121761527
107,118193525
108,122379522
109,117638388
110,119584835
111,117574988
112,119034671
113,113655500
114,111266844
115,120544818
116,113442600
117,122695710
118,114966158
119,117446668
120,122479294
121,118341602
122,120812287
123,117738448
124,115200576
125,121343957
126,122248344
127,112185423
128,115516641
129,120945508
130,122056756
131,122608849
132,115839684
133,114712487
134,112773920
135,121469217
136,117041863
137,121006616
138,116223587
139,118114639
140,119764400
141,121751350
142,121623262
143,118977748
144,120360409
145,113982959
146,120177360
147,111301649
148,120321638
149,114108966
150,122020503
151,119500205
152,109761995
153,120536717
154,115534997
155,117117774
156,115017079
157,114644617
158,114465648
159,117341099
160,119011302
161,114938577
162,108653809
163,111778424
164,121817646
165,122726310
166,113746093
167,113861341
168,115391790
169,118269779
170,119123480
171,121247498
172,122649220
173,115970140
174,120767979
175,117739165
176,119277509
177,107241016
178,115583869
179,122134285
180,118982948
181,118243187
182,114138319
183,120984980
184,116367547
185,120012590
186,115821699
187,121344568
188,114678155
189,114268421
190,115416804
191,121176727
192,120516090
193,119965028
194,116064577
195,111196398
196,121178529
197,120377376
198,118972283
199,113940664
200,116596645
201,117807523
202,121314384
203,120016526
204,115779475
205,117619135
206,118987738
207,115282579
208,111336843
209,116140185
210,115363293
211,120932902
212,119126673
213,121283415
214,121432135
215,109940784
216,118655669
217,119078672
218,122063047
219,121885744
220,121405604
221,121718170
222,118591051
223,115758974
224,111099855
225,121260346
226,113848009
227,118827315
228,120541070
229,121337725
230,120577812
231,122519977
232,108632871
233,121332916
234,122692384
235,113580346
236,107328686
237,120561684
238,119700180
239,117147775
240,111189688
241,115658549
242,116558219
243,110718612
244,113952770
245,121076580
246,121357618
247,122018715
248,115276069
249,120725723
250,115149792
251,122399547
252,119801199
253,117008018
254,119503400
255,114448399
256,108318107
257,110034876
258,120802125
259,118694276
260,120338568
261,114204672
262,103225441
263,111136534
264,114764240
265,121350920
266,120322581
267,115412175
268,111845795
269,115527791
270,119786796
271,120897950
272,115634631
273,120380854
274,116316994
275,116828813
276,117815790
277,114039069
278,121681850
279,121559002
280,119537952
281,119074325
282,117995237
283,119155225
284,122569409
285,122333783
286,108754275
287,119935744
288,119298989
289,120045611
290,119796372
291,121773296
292,121152501
293,120981895
294,108089860
295,119185221
296,122491871
297,121655218
298,121659353
299,118621645
300,117372863
301,121663635
302,119527221
303,117820250
304,121444798
305,110646504
306,122472750
307,121723072
308,116722314
309,122418236
310,120802455
311,119890818
312,114076674
313,117682705
314,111733508
315,121415809
316,120990747
317,120000022
318,119905323
319,115701669
320,115977096
321,120410211
322,118288024
323,116881910
324,121345795
325,121408725
326,119660637
327,111160151
328,119187166
329,114624726
330,113887756
331,117933856
332,115749785
333,117976825
334,107136270
335,122404587
336,118326866
337,116554299
338,114260681
339,121390432
340,118806323
341,119794650
342,113920754
343,116612273
344,116215685
345,122395770
346,117775147
347,117954030
348,117956695
349,118344837
350,121624737
351,116411319
352,118994682
353,115620038
354,118269262
355,115401951
356,114407094
357,121385709
358,115345489
359,114335551
360,122644913
361,119199597
362,115543540
363,115769583
364,115706620
365,115507396
366,117395324
367,119925210
368,111743739
369,114286522
370,107470593
371,122048753
372,111894896
373,119304869
374,117858920
375,113497271
376,121342010
377,115703561
378,121315641
379,122239818
380,113970157
381,121088204
382,116332948
383,118130057
384,115404071
385,117088554
386,122517358
387,122682849
388,119910665
389,116371442
390,114493545
391,113542158
392,107413642
393,117615374
394,116998617
