,ID_MDL_Data
0,108879811
1,115813295
2,122660464
3,119440519
4,115659135
5,122439246
6,120289702
7,121573622
8,122654699
9,116281593
10,116216644
11,121566606
12,119345958
13,123103820
14,117105636
15,124565189
16,108066287
17,118667067
18,112642801
19,117280456
20,106381155
21,119890820
22,124138529
23,115252379
24,115879942
25,118063900
26,124149453
27,116129151
28,116179942
29,119937620
30,115707174
31,116534454
32,122406744
33,119733895
34,118857907
35,115878590
36,120874818
37,122970468
38,115393556
39,124341558
40,116948235
41,116092218
42,122560615
43,117902255
44,121165350
45,116049431
46,122907155
47,119525970
48,124012693
49,116472883
50,117377002
51,116802523
52,110868592
53,120664116
54,120189423
55,120212895
56,117781430
57,116994448
58,120713982
59,124865209
60,123777294
61,122071229
62,121605339
63,119346402
64,100947786
65,118711700
66,118405492
67,124600118
68,101597009
69,98839205
70,110314562
71,116063753
72,122502712
73,107868670
74,120484386
75,121453189
76,120989458
77,118630754
78,124584590
79,99414659
80,115482590
81,119264615
82,118469342
83,108884941
84,124089945
85,118551117
86,120711951
87,121153432
88,100206927
89,123534371
90,119396168
91,117176591
92,103596600
93,123537008
94,115558467
95,123530558
96,123597713
97,125668672
98,117859486
99,107864789
100,120650214
101,101464219
102,124496900
103,123807783
104,115906185
105,100386881
106,124621183
107,116435047
108,120063074
109,119331157
110,100254027
111,123102866
112,123596196
113,115862575
114,120350164
115,106645225
116,121448084
117,117774793
118,119423860
119,124353856
120,115385657
121,102485719
122,118405572
123,111297412
124,120321999
125,117815402
126,122042276
127,119298826
128,122291182
129,116500540
130,125350443
131,118208872
132,116537366
133,98943297
134,99339952
135,122219009
136,99895398
137,119602533
138,116117771
139,123665258
140,115625588
141,116207310
142,118230539
143,125049316
144,108191295
145,120711358
146,124415274
147,115618774
148,124723989
149,124232120
150,116501258
151,122493179
152,118043565
153,125345267
154,118128891
155,117108969
156,124185246
157,119478789
158,119476463
159,117424636
160,100082712
161,124896339
162,117485267
163,114773823
164,125098643
165,122491614
166,124683954
167,116957457
168,98751397
169,124257926
170,122218226
171,118612588
172,120380147
173,115751351
174,118710823
175,120541582
176,101642430
177,116703419
178,118466304
179,120172009
180,119427235
181,124089817
182,122500769
183,117787003
184,121366347
185,120887013
186,101563163
187,115809862
188,116529061
189,105148323
190,116509284
191,120087280
192,112690860
193,101241343
194,124501752
195,106009397
196,116975756
197,116201321
198,116449462
199,117822748
200,115915441
201,116001723
202,119308679
203,122523116
204,100747768
205,121597602
206,101278056
207,120708122
208,115222392
209,115878955
210,122493457
211,115320195
212,115520435
213,115928338
214,118189341
215,116266015
216,116020525
217,114636261
218,115656423
219,120112681
220,120371208
221,119789269
222,117249678
223,122593298
224,119220730
225,118478613
226,99296774
227,124206013
228,115546778
229,123209451
230,124363160
231,121954013
