IndexNr,ManufacturingPlant,DescriptionGlobal,DescriptionLocal,SILabel,Factor,MemoryAddress,relevant,ID
1,3221,VAR01 Temp. Horno Cámara de Trabajo (°C),VAR01 Temp. Horno Cámara de Trabajo (°C),NULL,1,NULL,1,237
1,3222,VAR001,VAR001,NULL,1,NULL,1,931
1,3223,VAR01 Temp. Horno Cámara de Trabajo (°C) ,VAR01 Temp. Horno Cámara de Trabajo (°C) ,NULL,1,NULL,1,2
1,3224,VAR01 Temp. Horno Cámara de Trabajo (°C),VAR01 Temp. Horno Cámara de Trabajo (°C),NULL,1,NULL,1,126
1,3225,VAR001,VAR001,NULL,1,NULL,1,1031
1,3226,VAR001,VAR001,NULL,1,NULL,1,531
2,3221,VAR02 Temp. Horno Cámara de Carga (°C),VAR02 Temp. Horno Cámara de Carga (°C),NULL,1,NULL,1,238
2,3222,VAR002,VAR002,NULL,1,NULL,1,932
2,3223,VAR02 Temp. Horno Cámara de Carga (°C)      ,VAR02 Temp. Horno Cámara de Carga (°C)      ,NULL,1,NULL,1,3
2,3224,VAR02 Temp. Horno Cámara de Carga (°C) ,VAR02 Temp. Horno Cámara de Carga (°C),NULL,1,NULL,1,127
2,3225,VAR002,VAR002,NULL,1,NULL,1,1032
2,3226,VAR002,VAR002,NULL,1,NULL,1,532
3,3221,VAR03 Temp. Horno Resistencia 1 (°C),VAR03 Temp. Horno Resistencia 1 (°C),NULL,1,NULL,1,239
3,3222,VAR003,VAR003,NULL,1,NULL,1,933
3,3223,VAR03 Temp. Horno Resistencia 1 (°C)     ,VAR03 Temp. Horno Resistencia 1 (°C)     ,NULL,1,NULL,1,4
3,3224,VAR03 Temp. Horno Resistencia 1 (°C),VAR03 Temp. Horno Resistencia 1 (°C),NULL,1,NULL,1,128
3,3225,VAR003,VAR003,NULL,1,NULL,1,1033
3,3226,VAR003,VAR003,NULL,1,NULL,1,533
4,3221,VAR04 Temp. Horno Resistencia 2 (°C),VAR04 Temp. Horno Resistencia 2 (°C),NULL,1,NULL,1,240
4,3222,VAR004,VAR004,NULL,1,NULL,1,934
4,3223,VAR04 Temp. Horno Resistencia 2 (°C)       ,VAR04 Temp. Horno Resistencia 2 (°C)     ,NULL,1,NULL,1,5
4,3224,VAR04 Temp. Horno Resistencia 2 (°C) ,VAR04 Temp. Horno Resistencia 2 (°C) ,NULL,1,NULL,1,129
4,3225,VAR004,VAR004,NULL,1,NULL,1,1034
4,3226,VAR004,VAR004,NULL,1,NULL,1,534
5,3221,VAR05 Temp. Horno Resistencia 3 (°C),VAR05 Temp. Horno Resistencia 3 (°C),NULL,1,NULL,1,241
5,3222,VAR005,VAR005,NULL,1,NULL,1,935
5,3223,VAR05 Temp. Horno Resistencia 3 (°C)                   ,VAR05 Temp. Horno Resistencia 3 (°C)                   ,NULL,1,NULL,1,6
5,3224,VAR05 Temp. Horno Resistencia 3 (°C),VAR05 Temp. Horno Resistencia 3 (°C),NULL,1,NULL,1,130
5,3225,VAR005,VAR005,NULL,1,NULL,1,1035
5,3226,VAR005,VAR005,NULL,1,NULL,1,535
6,3221,VAR06 Temp. Horno Resistencia 4 (°C),VAR06 Temp. Horno Resistencia 4 (°C),NULL,1,NULL,1,242
6,3222,VAR006,VAR006,NULL,1,NULL,1,936
6,3223,VAR06 Temp. Horno Resistencia 4 (°C)       ,VAR06 Temp. Horno Resistencia 4 (°C)       ,NULL,1,NULL,1,7
6,3224,VAR06 Temp. Horno Resistencia 4 (°C)  ,VAR06 Temp. Horno Resistencia 4 (°C)  ,NULL,1,NULL,1,131
6,3225,VAR006,VAR006,NULL,1,NULL,1,1036
6,3226,VAR006,VAR006,NULL,1,NULL,1,536
7,3221,VAR07 Termopar 1 ( BT12) Alimentador Front  LH (°C),VAR07 Termopar 1 ( BT12) Alimentador Front  LH (°C),NULL,1,NULL,1,243
7,3222,VAR007,VAR007,NULL,1,NULL,1,937
7,3223,VAR07 Termopar 1 Alimentador Front Izquierdo (°C)     ,VAR07 Termopar 1 Alimentador Front Izquierdo (°C) ,NULL,1,NULL,1,8
7,3224,VAR07 Termopar 1 Alimentador Front Izquierdo (°C)    ,VAR07 Termopar 1 Alimentador Front Izquierdo (°C)     ,NULL,1,NULL,1,132
7,3225,VAR007,VAR007,NULL,1,NULL,1,1037
7,3226,VAR007,VAR007,NULL,1,NULL,1,537
8,3221,VAR08 Termopar 2 (BT1) Alimentador Front RH (°C),VAR08 Termopar 2 (BT1) Alimentador Front RH (°C),NULL,1,NULL,1,244
8,3222,VAR008,VAR008,NULL,1,NULL,1,938
8,3223,VAR08 Termopar 2 Alimentador Front Derecho (°C),VAR08 Termopar 2 Alimentador Front Derecho (°C),NULL,1,NULL,1,9
8,3224,VAR08 Termopar 2 Alimentador Front Derecho (°C)  ,VAR08 Termopar 2 Alimentador Front Derecho (°C)  ,NULL,1,NULL,1,133
8,3225,VAR008,VAR008,NULL,1,NULL,1,1038
8,3226,VAR008,VAR008,NULL,1,NULL,1,538
9,3221,VAR09 Termopar 4 (BT8) Alimentador Rear LH (°C),VAR09 Termopar 4 (BT8) Alimentador Rear LH (°C),NULL,1,NULL,1,245
9,3222,VAR009,VAR009,NULL,1,NULL,1,939
9,3223,VAR09 Termopar 4 Alimentador Rear Izquierdo (°C),VAR09 Termopar 4 Alimentador Rear Izquierdo (°C),NULL,1,NULL,1,10
9,3224,VAR09 Termopar 4 Alimentador Rear Izquierdo (°C) ,VAR09 Termopar 4 Alimentador Rear Izquierdo (°C) ,NULL,1,NULL,1,134
9,3225,VAR009,VAR009,NULL,1,NULL,1,1039
9,3226,VAR009,VAR009,NULL,1,NULL,1,539
10,3221,VAR10 Termopar 5 (BT4) Alimentador Rear RH (°C),VAR10 Termopar 5 (BT4) Alimentador Rear RH (°C),NULL,1,NULL,1,246
